origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Beron de Astrada,La Cruz,52954.4878530,168398.9787291,42936.8868004,264290.3533824
Beron de Astrada,San Miguel,52954.4878530,168398.9787291,42936.8868004,264290.3533824
Beron de Astrada,San Roque,52954.4878530,184947.2754912,29716.4568725,267618.2202166
Beron de Astrada,Santo Tome,52954.4878530,128748.8497975,105262.4973187,286965.8349692
Beron de Astrada,Sauce,52954.4878530,291691.6389550,73063.9984597,417710.1252677
Concepcion,Corrientes,96068.0454887,146643.6758473,73051.6273269,315763.3486628
Concepcion,Bella Vista,96068.0454887,109701.0212230,93055.6682672,298824.7349788
Concepcion,Beron de Astrada,96068.0454887,184947.2754912,52954.4878530,333969.8088328
Concepcion,Concepcion,96068.0454887,0.0000000,52954.4878530,333969.8088328
Concepcion,Curuzu Cuatia,96068.0454887,150621.8266223,30906.1577404,277596.0298514
Concepcion,Empedrado,96068.0454887,150621.8266223,30906.1577404,277596.0298514
Concepcion,Esquina,96068.0454887,312303.6785027,73525.3653756,481897.0893670
Concepcion,Alvear,96068.0454887,273914.4868482,54225.0886254,424207.6209623
Concepcion,Caa Cati,96068.0454887,184947.2754912,53874.0239636,334889.3449435
Concepcion,Goya,96068.0454887,109701.0212230,110438.4221223,316207.4888339
Concepcion,Itati,96068.0454887,124660.4710490,11574.0400685,232302.5566062
Concepcion,Ituzaingo,96068.0454887,313696.1252887,89019.6438611,498783.8146385
Concepcion,Lavalle,96068.0454887,109701.0212230,106240.8772861,312009.9439977
Concepcion,Mburucuya,96068.0454887,109701.0212230,106240.8772861,312009.9439977
Concepcion,Mercedes,96068.0454887,109701.0212230,106240.8772861,312009.9439977
Concepcion,Monte Caseros,96068.0454887,150621.8266223,95745.4085424,342435.2806534
Concepcion,Paso de los Libres,96068.0454887,273914.4868482,42843.1171416,412825.6494785
Concepcion,Saladas,96068.0454887,273914.4868482,42843.1171416,412825.6494785
Concepcion,San Cosme,96068.0454887,146643.6758473,97866.5581670,340578.2795029
Concepcion,San Luis del Palmar,96068.0454887,146643.6758473,97866.5581670,340578.2795029
Concepcion,La Cruz,96068.0454887,273914.4868482,42936.8868004,412919.4191373
Concepcion,San Miguel,96068.0454887,184947.2754912,54043.1459510,335058.4669308
Concepcion,San Roque,96068.0454887,184947.2754912,54043.1459510,335058.4669308
